25 
2	0	0	0	7	0	0	0	5	0	21	20	22	18	1	16	0	13	8	0	10	24	0	0	0	   
3	17	25	5	0	13	0	0	0	14	0	0	11	0	0	21	0	22	20	0	0	0	15	7	2	   
0	0	0	6	14	22	0	0	0	0	12	0	15	0	2	10	19	0	0	23	17	0	5	9	0	   
21	0	0	0	0	0	24	10	23	19	17	0	0	9	0	12	2	0	0	0	0	0	6	14	16	   
10	0	0	23	0	15	4	12	0	2	0	13	0	0	0	17	3	0	0	0	20	22	0	0	0	   
0	0	24	11	0	4	0	0	15	7	0	8	13	0	14	0	0	25	0	5	21	20	22	0	1	   
9	3	0	0	5	8	0	0	0	6	0	10	24	0	23	1	0	20	21	22	0	12	4	0	7	   
0	16	8	13	6	0	0	1	22	0	2	0	4	0	0	0	23	0	10	11	0	0	0	5	0	   
0	21	20	0	18	0	10	0	11	23	0	0	25	5	9	0	0	0	12	15	16	0	13	0	0	   
0	2	0	4	0	17	0	9	0	0	1	21	0	0	18	14	6	8	16	13	0	0	0	11	0	   
0	0	15	7	2	0	25	17	0	3	0	0	18	0	0	0	0	6	13	14	0	11	23	19	0	   
0	0	0	0	0	6	0	8	0	0	24	0	0	0	10	20	21	0	22	1	4	0	0	2	12	   
0	0	0	0	0	0	0	0	0	21	4	15	7	2	12	0	10	0	0	19	25	0	9	0	0	   
20	0	0	1	0	0	0	24	0	10	0	0	0	3	17	4	12	7	0	0	0	0	14	16	8	   
0	0	23	0	10	0	15	4	0	12	13	6	14	0	0	0	17	9	0	3	22	18	0	0	0	   
0	0	0	0	0	3	0	0	17	0	0	1	0	20	0	6	0	0	14	8	0	0	0	24	0	   
5	9	3	0	0	0	0	6	8	13	23	0	0	0	0	0	0	0	0	20	0	0	12	0	0	   
0	0	16	8	0	0	1	18	20	0	0	0	0	0	0	0	11	0	19	24	9	3	0	25	5	   
0	1	21	20	22	10	0	0	0	0	9	3	0	25	5	7	0	12	2	4	14	16	0	13	0	   
23	19	0	24	0	12	2	0	0	15	14	0	8	0	6	0	5	17	3	25	1	21	20	0	0	   
4	15	0	2	12	9	5	25	3	17	0	18	1	21	0	13	0	0	0	0	11	23	0	10	24	   
0	5	0	0	17	14	6	0	0	8	11	23	19	10	24	0	0	0	18	0	0	7	2	12	0	   
0	0	14	16	0	1	0	22	21	20	15	7	2	0	4	11	0	0	0	0	5	0	3	0	25	   
22	18	1	0	0	0	0	11	0	0	0	9	3	0	0	0	4	0	7	0	0	0	0	8	13	   
0	0	19	0	0	0	0	0	12	4	6	14	0	0	13	5	0	0	9	0	0	0	21	20	0	 
